feature,importance_gain,importance_split
Cycle_time_rolling_std_5,358223.7244371772,114
Cycle_time_rate_of_change_30,317134.76645386964,127
Cycle_time_roc_30,152295.739171654,83
Injection_pressure_rolling_std_5,128471.77951002121,119
Switch_pressure_rolling_std_5,123097.03292673826,123
Cyl_tmp_z8_rolling_std_5,61946.94040775299,98
Cyl_tmp_z3_rolling_std_5,41116.50336277485,91
Ejector_fix_deviation_torque_rolling_min_5,34247.615046978,143
Ejector_fix_deviation_torque_rolling_max_5,31841.272538661957,147
Extruder_start_position_rolling_std_5,31245.9794575274,127
machine_id_encoded,29739.90983772278,26
Cyl_tmp_z5_rolling_std_5,27188.046379864216,130
Ejector_fix_deviation_torque_rolling_mean_5,25085.630211390555,131
Shot_size_rolling_std_5,23992.059597313404,82
Cyl_tmp_z5_rate_of_change_30,19184.281341940165,57
Injection_pressure_rate_of_change_5,18251.67617893219,54
Cycle_time_rate_of_change_5,18139.875520974398,13
Cyl_tmp_z4_rolling_std_5,17467.63011866808,99
Cycle_time_rolling_min_5,16089.77381426096,76
Injection_pressure_roc_30,15712.427493389696,28
Cyl_tmp_z1_rolling_std_5,15631.852603323758,85
Dosage_time_rolling_std_5,15345.80076906085,88
Injection_pressure_rolling_max_5,14932.745278596878,40
Dosage_time_rolling_mean_5,14773.390713214874,51
Cushion_rolling_std_5,14762.177522858605,77
Dosage_time_rolling_min_5,14552.674811314791,62
Cyl_tmp_z3_rolling_mean_5,13158.133672157302,44
Extruder_torque,12737.478630423546,45
Switch_pressure_rate_of_change_5,12650.007656097412,29
Extruder_torque_rolling_min_5,12331.814413547516,56
Extruder_start_position_rolling_max_5,12215.491532444954,52
Cycle_time,12133.917987754568,66
Cycle_time_rolling_mean_5,11585.843838125467,63
Dosage_time_rate_of_change_5,11307.1520652771,31
Peak_pressure_position_rolling_std_5,11199.167221903801,60
Injection_pressure_rolling_min_5,10873.185413360596,54
Cushion_rolling_mean_5,10721.523933803663,53
Cushion_rolling_min_5,10480.041496276855,38
Peak_pressure_time_rolling_std_5,10347.41007116437,55
Peak_pressure_time_rolling_mean_5,10341.259944081306,35
Extruder_torque_rolling_std_5,9972.020164966583,57
Injection_pressure_rolling_mean_5,9969.53486442566,29
Cyl_tmp_z8_rolling_mean_5,9830.195330262184,34
Ejector_fix_deviation_torque,9638.26067507267,41
Injection_pressure,9491.145825505257,36
Cyl_tmp_z5_rolling_min_5,9453.586152076721,40
Cyl_tmp_z1_rolling_mean_5,8947.699680685997,30
Cyl_tmp_z3_rate_of_change_30,7942.120425701141,27
Ejector_fix_deviation_torque_rolling_std_5,7836.903621088713,59
Injection_pressure_rate_of_change_30,7733.344681825489,46
Peak_pressure_position_rolling_max_5,7728.034478545189,54
Peak_pressure_time_rolling_max_5,7693.351264953613,25
Extruder_torque_rolling_max_5,7585.8588137850165,42
Cycle_time_rolling_max_5,7519.681258559227,57
Cyl_tmp_z5_rolling_max_5,7414.233073651791,16
Extruder_start_position_lag_5,7118.871338009834,24
Dosage_time,7088.466721475124,38
Extruder_torque_rolling_mean_5,6868.299928665161,41
Switch_pressure_rolling_max_5,6724.062068939209,48
Ejector_fix_deviation_torque_lag_1,6528.367954432964,31
Switch_pressure_rate_of_change_30,6524.306155800819,58
Switch_pressure_roc_30,6491.19892758131,44
Cyl_tmp_z5_rate_of_change_5,6427.51187312603,33
Ejector_fix_deviation_torque_lag_5,6278.482566535473,34
Peak_pressure_position_rolling_min_5,6027.211740136147,34
machine_id_code,6015.305709838867,16
Switch_pressure_lag_5,6014.993654251099,26
Switch_pressure,5961.43159365654,23
Dosage_time_rolling_max_5,5849.415053129196,33
Cushion,5756.055771142244,30
Cyl_tmp_z8_rolling_min_5,5753.072827249765,26
Cyl_tmp_z8,5657.40401366353,35
Cushion_rolling_max_5,5642.913793087006,37
Peak_pressure_position_rolling_mean_5,5611.500841706991,48
Injection_pressure_lag_1,5574.416487932205,13
Dosage_time_rate_of_change_30,5498.43222373724,26
Cyl_tmp_z8_roc_30,5300.680400848389,8
Switch_pressure_rolling_mean_5,5296.107650279999,36
Cyl_tmp_z3,5188.917412102222,21
Cushion_lag_1,4934.509893417358,10
Peak_pressure_position,4877.167925685644,28
Switch_pressure_rolling_min_5,4726.816145896912,41
Peak_pressure_time_rolling_min_5,4659.272290229797,25
Cyl_tmp_z4_rolling_max_5,4526.75123000145,21
Peak_pressure_time,4464.439346313477,22
Ejector_fix_deviation_torque_lag_3,4274.962886810303,24
Cycle_time_lag_1,4248.558537274599,24
Injection_pressure_lag_3,4145.131669282913,14
Extruder_start_position_rolling_min_5,4106.513000488281,32
Cyl_tmp_z8_rolling_max_5,3884.312840461731,15
Cyl_tmp_z5_roc_30,3794.592315673828,16
Extruder_start_position_rolling_mean_5,3476.079481959343,27
