feature,importance_gain,importance_split
Cycle_time_lag_5,3284.400661468506,20
Ejector_fix_deviation_torque_rate_of_change_30,3188.4048979133368,24
Cyl_tmp_z4_rolling_min_5,3167.4110317230225,10
Cyl_tmp_z1,3142.836869560182,15
Shot_size,3055.137479186058,16
Cyl_tmp_z1_rolling_max_5,2928.972101211548,16
Cyl_tmp_z4_rolling_mean_5,2918.4877367019653,11
Injection_time_rolling_std_5,2865.372216850519,17
Injection_pressure_lag_5,2839.57533288002,16
Cyl_tmp_z3_lag_1,2833.472946166992,3
Extruder_start_position_rate_of_change_30,2680.503480195999,15
Dosage_time_lag_5,2669.689712524414,24
Extruder_start_position,2533.604833483696,22
Cyl_tmp_z1_rolling_min_5,2488.5000801086426,14
Switch_pressure_lag_3,2472.0841121673584,10
Extruder_torque_rate_of_change_30,2465.0253765285015,33
Extruder_torque_lag_1,2373.0099601745605,9
Cyl_tmp_z5,2285.747600674629,16
Injection_time_rolling_mean_5,2120.888720035553,5
Cushion_rate_of_change_30,2058.4077343940735,17
Cyl_tmp_z5_rolling_mean_5,2047.6271214485168,18
Extruder_torque_lag_5,1993.341143131256,10
Cyl_tmp_z4,1959.6324328184128,13
Cushion_lag_5,1951.0309101045132,14
Cyl_tmp_z3_roc_30,1947.8254699707031,7
Peak_pressure_time_lag_5,1902.6927419751883,16
Cyl_tmp_z1_rate_of_change_30,1896.0092005729675,7
Injection_time,1850.9686881750822,13
Cyl_tmp_z5_lag_3,1831.9626142978668,11
Cyl_tmp_z5_lag_5,1808.007827281952,12
Cyl_tmp_z8_rate_of_change_30,1750.9506096839905,15
Cyl_tmp_z4_rate_of_change_5,1741.441499710083,11
Switch_position_rolling_std_5,1598.8210754394531,7
Extruder_torque_rate_of_change_5,1562.1218547821045,10
Dosage_time_roc_5,1540.6766891479492,4
Cushion_lag_3,1515.62737891078,11
Extruder_start_position_lag_3,1488.462001800537,18
Ejector_fix_deviation_torque_rate_of_change_5,1485.4535706490278,15
Switch_pressure_lag_1,1438.0179738998413,8
Cyl_tmp_z3_lag_5,1431.6143937706947,8
Cyl_tmp_z3_rolling_min_5,1389.7212164103985,5
Cyl_tmp_z1_lag_5,1351.746488571167,8
Peak_pressure_position_rate_of_change_30,1029.3450999259949,8
Cyl_tmp_z4_lag_3,1017.3461036682129,3
Peak_pressure_position_lag_5,992.1923401355743,11
Cycle_time_lag_3,983.9143800735474,12
Peak_pressure_position_lag_3,961.9379506111145,10
Injection_pressure_roc_5,930.9917851090431,6
Extruder_start_position_lag_1,896.1797383353114,18
Extruder_start_position_rate_of_change_5,873.3155767321587,9
Extruder_torque_roc_5,871.3515241146088,6
Peak_pressure_time_lag_1,770.6507911682129,5
Dosage_time_lag_3,746.2381134033203,9
Cushion_rate_of_change_5,654.3377227783203,6
Cyl_tmp_z3_rolling_max_5,626.1104645729065,8
Cyl_tmp_z4_lag_5,618.6640119552612,5
Cyl_tmp_z8_lag_5,578.4518852233887,9
Extruder_torque_roc_30,556.3326988220215,5
Cyl_tmp_z8_rate_of_change_5,497.6957015991211,6
Shot_size_rolling_mean_5,450.7765793800354,7
Cyl_tmp_z1_lag_1,449.3191909790039,3
Shot_size_rolling_max_5,397.62298583984375,1
Cyl_tmp_z4_lag_1,387.1185073852539,3
Dosage_time_lag_1,348.5210757255554,4
Cyl_tmp_z4_rate_of_change_30,342.7253737542778,12
Ejector_fix_deviation_torque_roc_30,336.58918857574463,11
Peak_pressure_time_lag_3,297.614501953125,3
Cyl_tmp_z3_rate_of_change_5,285.3230972290039,3
Cushion_roc_30,255.30340576171875,2
Extruder_torque_lag_3,251.77239227294922,2
Extruder_start_position_roc_30,249.43029525876045,10
Dosage_time_roc_30,240.88177747651935,4
Cyl_tmp_z5_roc_5,227.5275993347168,3
Shot_size_rolling_min_5,204.53900146484375,1
Injection_time_rate_of_change_5,195.73399353027344,1
Cyl_tmp_z5_lag_1,183.79976344108582,7
Injection_time_rolling_max_5,181.1219940185547,1
tool_id_code,171.86199951171875,1
Cyl_tmp_z1_lag_3,160.5830739736557,2
Peak_pressure_position_lag_1,142.61609840393066,3
Peak_pressure_position_rate_of_change_5,139.16983699798584,4
Cushion_roc_5,135.06709671020508,2
Cyl_tmp_z3_lag_3,128.6230010986328,1
Injection_time_lag_5,126.43515586853027,3
Cyl_tmp_z4_roc_30,111.99789810180664,2
Switch_position,93.20612859725952,3
Peak_pressure_time_rate_of_change_30,64.83509826660156,1
Extruder_start_position_roc_5,58.48640060424805,2
Switch_position_lag_5,48.04819869995117,1
Cyl_tmp_z4_roc_5,47.40250015258789,1
Ejector_fix_deviation_torque_roc_5,15.160890340805054,2
Switch_pressure_roc_5,13.451784640550613,5
Cyl_tmp_z8_lag_1,6.951782166957855,2
Injection_time_rolling_min_5,4.6001200675964355,1
Peak_pressure_time_rate_of_change_5,4.59945011138916,1
Cyl_tmp_z1_rate_of_change_5,3.3317599296569824,2
Cycle_time_roc_5,2.458980083465576,1
Peak_pressure_time_roc_30,1.3329239785671234,3
Cyl_tmp_z8_lag_3,1.1849299669265747,1
Cyl_tmp_z8_roc_5,0.0,0
Cyl_tmp_z3_roc_5,0.0,0
Cyl_tmp_z1_roc_30,0.0,0
Peak_pressure_position_roc_5,0.0,0
Injection_time_roc_30,0.0,0
Peak_pressure_position_roc_30,0.0,0
Cyl_tmp_z1_roc_5,0.0,0
Switch_position_rolling_mean_5,0.0,0
Switch_position_lag_1,0.0,0
Shot_size_lag_1,0.0,0
Injection_time_lag_3,0.0,0
Injection_time_lag_1,0.0,0
Shot_size_lag_5,0.0,0
Injection_time_rate_of_change_30,0.0,0
Shot_size_rate_of_change_30,0.0,0
